53 : 11
30 : 15
41 : 26
61 : 47
37 : 97
8 : 120
63 : 136
35 : 156
57 : 175
67 : 175
49 : 183
33 : 224
6 : 225
10 : 322
26 : 336
4 : 357
32 : 446
43 : 482
65 : 565
45 : 584
47 : 640
18 : 696
75 : 789
73 : 851
22 : 971
55 : 980
28 : 991
39 : 1000
12 : 1067
16 : 1170
71 : 1189
69 : 1212
20 : 1216
51 : 1221
24 : 1379
14 : 1474
2 : 1527
1 : 1669
13 : 1722
23 : 1817
50 : 1975
19 : 1980
68 : 1984
70 : 2007
15 : 2026
11 : 2129
38 : 2196
27 : 2205
54 : 2216
21 : 2225
72 : 2345
74 : 2407
17 : 2500
31 : 2526
46 : 2556
44 : 2612
64 : 2631
42 : 2714
3 : 2839
25 : 2860
9 : 2874
5 : 2971
48 : 3013
56 : 3021
66 : 3021
34 : 3040
62 : 3060
7 : 3076
36 : 3099
60 : 3149
40 : 3170
29 : 3181
52 : 3185
58 : 3195
